card_number;level;category;question;color;print_front;notes
18;1;Werkplezier;Wat is een klein succes van deze maand dat niemand heeft gezien?;#C9A8E0;Wat is een klein succes van deze maand dat niemand heeft gezien?;Bedoeld om te lachen. Nooit ten koste van cliënten of gezinnen.
19;1;Werkplezier;Waar kijk je in je werkweek het meest naar uit?;#C9A8E0;Waar kijk je in je werkweek het meest naar uit?;Bedoeld om te lachen. Nooit ten koste van cliënten of gezinnen.
20;1;Werkplezier;Wat zou je vandaag doen als je een uur cadeau kreeg?;#C9A8E0;Wat zou je vandaag doen als je een uur cadeau kreeg?;Bedoeld om te lachen. Nooit ten koste van cliënten of gezinnen.
21;1;Vakmanschap;Welk advies uit je opleiding blijkt in de praktijk het meest waar?;#C9A8E0;Welk advies uit je opleiding blijkt in de praktijk het meest waar?;Over het ambacht, niet over een specifieke casus.
22;1;Vakmanschap;Welk advies uit je opleiding gebruik je eigenlijk nooit?;#C9A8E0;Welk advies uit je opleiding gebruik je eigenlijk nooit?;Over het ambacht, niet over een specifieke casus.
23;1;Vakmanschap;Welke werkvorm werkt bij jou bijna altijd?;#C9A8E0;Welke werkvorm werkt bij jou bijna altijd?;Over het ambacht, niet over een specifieke casus.
24;1;Vakmanschap;Wat doe je als een gesprek niet op gang komt?;#C9A8E0;Wat doe je als een gesprek niet op gang komt?;Over het ambacht, niet over een specifieke casus.
25;1;Vakmanschap;Hoe bereid je je voor op een gesprek waar je tegenop ziet?;#C9A8E0;Hoe bereid je je voor op een gesprek waar je tegenop ziet?;Over het ambacht, niet over een specifieke casus.
26;1;Vakmanschap;Wat neem je altijd mee naar een huisbezoek?;#C9A8E0;Wat neem je altijd mee naar een huisbezoek?;Over het ambacht, niet over een specifieke casus.
27;1;Vakmanschap;Waar merk je aan dat je een goede klik hebt met iemand?;#C9A8E0;Waar merk je aan dat je een goede klik hebt met iemand?;Over het ambacht, niet over een specifieke casus.
28;1;Vakmanschap;Wat zeg jij meestal als eerste als je ergens binnenkomt?;#C9A8E0;Wat zeg jij meestal als eerste als je ergens binnenkomt?;Over het ambacht, niet over een specifieke casus.
29;1;Collega's;Van welke collega heb je het meeste geleerd?;#C9A8E0;Van welke collega heb je het meeste geleerd?;Richt op waardering en samenwerking, niet op beoordeling.
30;1;Collega's;Welke collega zou jou het beste kunnen nadoen?;#C9A8E0;Welke collega zou jou het beste kunnen nadoen?;Richt op waardering en samenwerking, niet op beoordeling.
31;1;Collega's;Wat vraag je aan een collega als je even vastzit?;#C9A8E0;Wat vraag je aan een collega als je even vastzit?;Richt op waardering en samenwerking, niet op beoordeling.
32;1;Collega's;Waar in dit team zou je vaker om hulp mogen vragen?;#C9A8E0;Waar in dit team zou je vaker om hulp mogen vragen?;Richt op waardering en samenwerking, niet op beoordeling.
33;1;Collega's;Wat waardeer je in dit team dat je nooit hardop zegt?;#C9A8E0;Wat waardeer je in dit team dat je nooit hardop zegt?;Richt op waardering en samenwerking, niet op beoordeling.
34;2;Perspectief;Wat zou de jongere zeggen dat het doel van deze hulp moet zijn?;#8B5FBF;Wat zou de jongere zeggen dat het doel van deze hulp moet zijn?;Laat de inbrenger eerst raden, vraag daarna pas door.
35;2;Perspectief;Wat zou de ouder daarop antwoorden?;#8B5FBF;Wat zou de ouder daarop antwoorden?;Laat de inbrenger eerst raden, vraag daarna pas door.
36;2;Perspectief;Wat zou een leerkracht hier zien wat jij niet ziet?;#8B5FBF;Wat zou een leerkracht hier zien wat jij niet ziet?;Laat de inbrenger eerst raden, vraag daarna pas door.
37;2;Perspectief;Wat zie jij dat een andere professional mogelijk anders weegt?;#8B5FBF;Wat zie jij dat een andere professional mogelijk anders weegt?;Laat de inbrenger eerst raden, vraag daarna pas door.
38;2;Perspectief;Hoe zou deze situatie klinken als de jongere hem zelf vertelde?;#8B5FBF;Hoe zou deze situatie klinken als de jongere hem zelf vertelde?;Laat de inbrenger eerst raden, vraag daarna pas door.
39;2;Perspectief;Wie zou het meest verbaasd zijn over jouw beeld van deze situatie?;#8B5FBF;Wie zou het meest verbaasd zijn over jouw beeld van deze situatie?;Laat de inbrenger eerst raden, vraag daarna pas door.
40;2;Perspectief;Welk woord gebruik jij hier dat het gezin zelf nooit zou gebruiken?;#8B5FBF;Welk woord gebruik jij hier dat het gezin zelf nooit zou gebruiken?;Laat de inbrenger eerst raden, vraag daarna pas door.
41;2;Systeem;Van wie is dit probleem eigenlijk?;#8B5FBF;Van wie is dit probleem eigenlijk?;Zoek naar wie er nog meer in beeld hoort, niet naar een schuldige.
42;2;Systeem;Wie wordt op dit moment onvoldoende gehoord?;#8B5FBF;Wie wordt op dit moment onvoldoende gehoord?;Zoek naar wie er nog meer in beeld hoort, niet naar een schuldige.
43;2;Systeem;Wie draagt hier het meeste zonder dat iemand het benoemt?;#8B5FBF;Wie draagt hier het meeste zonder dat iemand het benoemt?;Zoek naar wie er nog meer in beeld hoort, niet naar een schuldige.
44;2;Systeem;Wat verandert er voor de anderen als het beter gaat met de jongere?;#8B5FBF;Wat verandert er voor de anderen als het beter gaat met de jongere?;Zoek naar wie er nog meer in beeld hoort, niet naar een schuldige.
45;2;Systeem;Welke functie heeft dit gedrag in dit gezin?;#8B5FBF;Welke functie heeft dit gedrag in dit gezin?;Zoek naar wie er nog meer in beeld hoort, niet naar een schuldige.
46;2;Systeem;Welke afwezige persoon speelt hier toch een grote rol?;#8B5FBF;Welke afwezige persoon speelt hier toch een grote rol?;Zoek naar wie er nog meer in beeld hoort, niet naar een schuldige.
47;2;Systeem;Wat is hier al eerder geprobeerd, en wat leverde dat op?;#8B5FBF;Wat is hier al eerder geprobeerd, en wat leverde dat op?;Zoek naar wie er nog meer in beeld hoort, niet naar een schuldige.
48;2;Hypothese;Welke aanname maak jij over dit gezin?;#8B5FBF;Welke aanname maak jij over dit gezin?;Meerdere verklaringen naast elkaar mogen blijven staan.
49;2;Hypothese;Wat zou waar moeten zijn om jouw verklaring te laten kloppen?;#8B5FBF;Wat zou waar moeten zijn om jouw verklaring te laten kloppen?;Meerdere verklaringen naast elkaar mogen blijven staan.
50;2;Hypothese;Welke verklaring heb je te snel weggelegd?;#8B5FBF;Welke verklaring heb je te snel weggelegd?;Meerdere verklaringen naast elkaar mogen blijven staan.
51;2;Hypothese;Wat zou je denken als je dit dossier vandaag voor het eerst las?;#8B5FBF;Wat zou je denken als je dit dossier vandaag voor het eerst las?;Meerdere verklaringen naast elkaar mogen blijven staan.
52;2;Hypothese;Wat is de vraag achter de vraag die is uitgesproken?;#8B5FBF;Wat is de vraag achter de vraag die is uitgesproken?;Meerdere verklaringen naast elkaar mogen blijven staan.
53;2;Hypothese;Welke informatie ontbreekt om een betere afweging te maken?;#8B5FBF;Welke informatie ontbreekt om een betere afweging te maken?;Meerdere verklaringen naast elkaar mogen blijven staan.
54;2;Hypothese;Wie zou je nog kunnen spreken om je beeld te toetsen?;#8B5FBF;Wie zou je nog kunnen spreken om je beeld te toetsen?;Meerdere verklaringen naast elkaar mogen blijven staan.
55;2;Doelen;Wat gebeurt er als jij niets verandert aan je aanpak?;#8B5FBF;Wat gebeurt er als jij niets verandert aan je aanpak?;Toets of het doel van het gezin is of van de organisatie.
56;2;Doelen;Waar ben jij harder aan het werk dan het gezin?;#8B5FBF;Waar ben jij harder aan het werk dan het gezin?;Toets of het doel van het gezin is of van de organisatie.
57;2;Doelen;Voor wie is dit doel eigenlijk opgeschreven?;#8B5FBF;Voor wie is dit doel eigenlijk opgeschreven?;Toets of het doel van het gezin is of van de organisatie.
58;2;Doelen;Wat is op dit moment goed genoeg?;#8B5FBF;Wat is op dit moment goed genoeg?;Toets of het doel van het gezin is of van de organisatie.
59;2;Doelen;Welke kleinste stap zou hier al verschil maken?;#8B5FBF;Welke kleinste stap zou hier al verschil maken?;Toets of het doel van het gezin is of van de organisatie.
60;2;Doelen;Welke kracht wordt hier nu onvoldoende gebruikt?;#8B5FBF;Welke kracht wordt hier nu onvoldoende gebruikt?;Toets of het doel van het gezin is of van de organisatie.
61;2;Doelen;Wat zou je doen als je nog maar drie gesprekken had?;#8B5FBF;Wat zou je doen als je nog maar drie gesprekken had?;Toets of het doel van het gezin is of van de organisatie.
62;2;Doelen;Welk doel zou je durven schrappen?;#8B5FBF;Welk doel zou je durven schrappen?;Toets of het doel van het gezin is of van de organisatie.
63;2;Samenwerking;Wie is hier betrokken zonder dat iemand nog weet waarom?;#8B5FBF;Wie is hier betrokken zonder dat iemand nog weet waarom?;Over de keten en het team, niet over één persoon.
64;2;Samenwerking;Waar in de samenwerking loopt informatie vast?;#8B5FBF;Waar in de samenwerking loopt informatie vast?;Over de keten en het team, niet over één persoon.
65;2;Samenwerking;Wat verwacht jij van een ketenpartner dat je nooit hebt uitgesproken?;#8B5FBF;Wat verwacht jij van een ketenpartner dat je nooit hebt uitgesproken?;Over de keten en het team, niet over één persoon.
66;2;Samenwerking;Wie neemt hier eigenlijk de beslissing?;#8B5FBF;Wie neemt hier eigenlijk de beslissing?;Over de keten en het team, niet over één persoon.
67;2;Samenwerking;Wat zou je willen vragen aan de professional die vóór jou betrokken was?;#8B5FBF;Wat zou je willen vragen aan de professional die vóór jou betrokken was?;Over de keten en het team, niet over één persoon.
68;3;Triggers;Wie roept iets in jou op dat meer over jou zegt dan over die ander?;#3B1E4A;Wie roept iets in jou op dat meer over jou zegt dan over die ander?;Alleen delen wat je zelf wilt delen. Overslaan mag altijd.
69;3;Triggers;Bij welk gedrag word jij ongeduldig?;#3B1E4A;Bij welk gedrag word jij ongeduldig?;Alleen delen wat je zelf wilt delen. Overslaan mag altijd.
70;3;Triggers;Wanneer voelde je je voor het laatst machteloos?;#3B1E4A;Wanneer voelde je je voor het laatst machteloos?;Alleen delen wat je zelf wilt delen. Overslaan mag altijd.
71;3;Triggers;Welke situatie neem je mee naar huis?;#3B1E4A;Welke situatie neem je mee naar huis?;Alleen delen wat je zelf wilt delen. Overslaan mag altijd.
72;3;Triggers;Waar voel je je onzeker terwijl je dat niet laat zien?;#3B1E4A;Waar voel je je onzeker terwijl je dat niet laat zien?;Alleen delen wat je zelf wilt delen. Overslaan mag altijd.
73;3;Triggers;Wat doet het met je als een ouder jou niet vertrouwt?;#3B1E4A;Wat doet het met je als een ouder jou niet vertrouwt?;Alleen delen wat je zelf wilt delen. Overslaan mag altijd.
74;3;Grenzen;Wanneer voel jij de neiging om een gezin te redden?;#3B1E4A;Wanneer voel jij de neiging om een gezin te redden?;Blijf bij het werk. Dit is geen therapie.
75;3;Grenzen;Wanneer wordt betrokkenheid voor jou te veel verantwoordelijkheid?;#3B1E4A;Wanneer wordt betrokkenheid voor jou te veel verantwoordelijkheid?;Blijf bij het werk. Dit is geen therapie.
76;3;Grenzen;Welke grens heb je deze maand niet bewaakt?;#3B1E4A;Welke grens heb je deze maand niet bewaakt?;Blijf bij het werk. Dit is geen therapie.
77;3;Grenzen;Wat neem jij op je wat eigenlijk niet van jou is?;#3B1E4A;Wat neem jij op je wat eigenlijk niet van jou is?;Blijf bij het werk. Dit is geen therapie.
78;3;Grenzen;Waar zeg je te snel ja?;#3B1E4A;Waar zeg je te snel ja?;Blijf bij het werk. Dit is geen therapie.
79;3;Grenzen;Wat gebeurt er met jou als je een casus moet loslaten?;#3B1E4A;Wat gebeurt er met jou als je een casus moet loslaten?;Blijf bij het werk. Dit is geen therapie.
80;3;Oordeel;Bij welk type ouder merk je dat je sneller oordeelt?;#3B1E4A;Bij welk type ouder merk je dat je sneller oordeelt?;Onderzoekend, niet beschuldigend. Iedereen heeft blinde vlekken.
81;3;Oordeel;Welke overtuiging uit je eigen opvoeding neem je mee in je werk?;#3B1E4A;Welke overtuiging uit je eigen opvoeding neem je mee in je werk?;Onderzoekend, niet beschuldigend. Iedereen heeft blinde vlekken.
82;3;Oordeel;Welke aanname bleek achteraf helemaal niet te kloppen?;#3B1E4A;Welke aanname bleek achteraf helemaal niet te kloppen?;Onderzoekend, niet beschuldigend. Iedereen heeft blinde vlekken.
83;3;Oordeel;Waar zoek je vooral bevestiging van je eigen beeld?;#3B1E4A;Waar zoek je vooral bevestiging van je eigen beeld?;Onderzoekend, niet beschuldigend. Iedereen heeft blinde vlekken.
84;3;Oordeel;Welk verschil in taal of cultuur maakt jou onzeker?;#3B1E4A;Welk verschil in taal of cultuur maakt jou onzeker?;Onderzoekend, niet beschuldigend. Iedereen heeft blinde vlekken.
85;3;Oordeel;Wie in dit vak begrijp je moeilijk, en wat zegt dat over jou?;#3B1E4A;Wie in dit vak begrijp je moeilijk, en wat zegt dat over jou?;Onderzoekend, niet beschuldigend. Iedereen heeft blinde vlekken.
86;3;Positie;Hoeveel invloed heb jij eigenlijk op het leven van dit gezin?;#3B1E4A;Hoeveel invloed heb jij eigenlijk op het leven van dit gezin?;Gaat over rol en macht, niet over karakter.
87;3;Positie;Wanneer gebruikte je voor het laatst je positie om iets voor elkaar te krijgen?;#3B1E4A;Wanneer gebruikte je voor het laatst je positie om iets voor elkaar te krijgen?;Gaat over rol en macht, niet over karakter.
88;3;Positie;Wat zou een gezin niet tegen jou durven zeggen?;#3B1E4A;Wat zou een gezin niet tegen jou durven zeggen?;Gaat over rol en macht, niet over karakter.
89;3;Positie;Waar in dit team heb jij meer invloed dan je gebruikt?;#3B1E4A;Waar in dit team heb jij meer invloed dan je gebruikt?;Gaat over rol en macht, niet over karakter.
90;3;Positie;Wanneer zwijg jij in een overleg terwijl je wel iets vindt?;#3B1E4A;Wanneer zwijg jij in een overleg terwijl je wel iets vindt?;Gaat over rol en macht, niet over karakter.
91;3;Twijfel;Welke professionele fout heeft jou het meest geleerd?;#3B1E4A;Welke professionele fout heeft jou het meest geleerd?;Fouten mogen benoemd worden zonder dat iemand ze oplost.
92;3;Twijfel;Wanneer vind je het moeilijk om toe te geven dat je iets niet weet?;#3B1E4A;Wanneer vind je het moeilijk om toe te geven dat je iets niet weet?;Fouten mogen benoemd worden zonder dat iemand ze oplost.
93;3;Twijfel;Waarover twijfel je nu, zonder dat iemand dat weet?;#3B1E4A;Waarover twijfel je nu, zonder dat iemand dat weet?;Fouten mogen benoemd worden zonder dat iemand ze oplost.
94;3;Twijfel;Welke beslissing zou je overdoen?;#3B1E4A;Welke beslissing zou je overdoen?;Fouten mogen benoemd worden zonder dat iemand ze oplost.
95;3;Twijfel;Waar schaam je je wel eens voor in dit werk?;#3B1E4A;Waar schaam je je wel eens voor in dit werk?;Fouten mogen benoemd worden zonder dat iemand ze oplost.
96;3;Identiteit;Welke feedback over jouw manier van werken zou je het moeilijkst vinden om te horen?;#3B1E4A;Welke feedback over jouw manier van werken zou je het moeilijkst vinden om te horen?;Rond af met wat de deelnemer meeneemt.
97;3;Identiteit;Wie zou een heel ander verhaal over jou vertellen dan jij over jezelf?;#3B1E4A;Wie zou een heel ander verhaal over jou vertellen dan jij over jezelf?;Rond af met wat de deelnemer meeneemt.
98;3;Identiteit;Wat voor professional wilde je worden, en hoe ver zit je daarvandaan?;#3B1E4A;Wat voor professional wilde je worden, en hoe ver zit je daarvandaan?;Rond af met wat de deelnemer meeneemt.
99;3;Identiteit;Wat houdt jou in dit vak, ook op de slechte dagen?;#3B1E4A;Wat houdt jou in dit vak, ook op de slechte dagen?;Rond af met wat de deelnemer meeneemt.
100;3;Identiteit;Waar wil jij over een jaar beter in zijn?;#3B1E4A;Waar wil jij over een jaar beter in zijn?;Rond af met wat de deelnemer meeneemt.
